ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,          NT11
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            58,       3.27376,  -479.965E-03,            0.,NA,NA,"",       29.0846
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            59,       3.27317,  -459.966E-03,            0.,NA,NA,"",       29.0848
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            60,       3.27258,  -439.967E-03,            0.,NA,NA,"",       29.0849
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            61,       3.27199,  -419.967E-03,            0.,NA,NA,"",       29.0851
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            62,       3.27139,  -399.968E-03,            0.,NA,NA,"",       29.0852
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            63,       3.27080,  -379.969E-03,            0.,NA,NA,"",       29.0854
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            64,       3.27021,  -359.970E-03,            0.,NA,NA,"",       29.0856
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            65,       3.26962,  -339.971E-03,            0.,NA,NA,"",       29.0859
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            66,       3.26902,  -319.972E-03,            0.,NA,NA,"",       29.0861
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            67,       3.26843,  -299.972E-03,            0.,NA,NA,"",       29.0864
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            68,       3.26784,  -279.973E-03,            0.,NA,NA,"",       29.0867
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            69,       3.26725,  -259.974E-03,            0.,NA,NA,"",       29.0869
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            70,       3.26665,  -239.974E-03,            0.,NA,NA,"",       29.0873
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            71,       3.26606,  -219.975E-03,            0.,NA,NA,"",       29.0876
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            72,       3.26547,  -199.976E-03,            0.,NA,NA,"",       29.0879
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            73,       3.26488,  -179.977E-03,            0.,NA,NA,"",       29.0882
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            74,       3.26428,  -159.978E-03,            0.,NA,NA,"",       29.0886
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            75,       3.26369,  -139.978E-03,            0.,NA,NA,"",       29.0890
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            76,       3.26310,  -119.979E-03,            0.,NA,NA,"",       29.0893
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            77,       3.26251,  -99.9801E-03,            0.,NA,NA,"",       29.0897
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            78,       3.26191,  -79.9809E-03,            0.,NA,NA,"",       29.0901
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            79,       3.26132,  -59.9816E-03,            0.,NA,NA,"",       29.0905
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            80,       3.26073,  -39.9826E-03,            0.,NA,NA,"",       29.0909
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            81,       3.26014,  -19.9833E-03,            0.,NA,NA,"",       29.0913
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            82,       3.25954,   15.9700E-06,            0.,NA,NA,"",       29.0916
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            83,       3.25895,   20.0150E-03,            0.,NA,NA,"",       29.0920
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            84,       3.25836,   40.0143E-03,            0.,NA,NA,"",       29.0924
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            85,       3.25777,   60.0135E-03,            0.,NA,NA,"",       29.0928
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            86,       3.25717,   80.0128E-03,            0.,NA,NA,"",       29.0931
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            87,       3.25658,   100.012E-03,            0.,NA,NA,"",       29.0935
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            88,       3.25599,   120.011E-03,            0.,NA,NA,"",       29.0938
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            89,       3.25540,   140.010E-03,            0.,NA,NA,"",       29.0941
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            90,       3.25481,   160.010E-03,            0.,NA,NA,"",       29.0944
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            91,       3.25421,   180.009E-03,            0.,NA,NA,"",       29.0947
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            92,       3.25362,   200.008E-03,            0.,NA,NA,"",       29.0950
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            93,       3.25303,   220.007E-03,            0.,NA,NA,"",       29.0952
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            94,       3.25244,   240.006E-03,            0.,NA,NA,"",       29.0955
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            95,       3.25184,   260.005E-03,            0.,NA,NA,"",       29.0957
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            96,       3.25125,   280.005E-03,            0.,NA,NA,"",       29.0959
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            97,       3.25066,   300.004E-03,            0.,NA,NA,"",       29.0960
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            98,       3.25007,   320.003E-03,            0.,NA,NA,"",       29.0962
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",            99,       3.24947,   340.002E-03,            0.,NA,NA,"",       29.0963
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           100,       3.24888,   360.002E-03,            0.,NA,NA,"",       29.0964
C:/temp/heatcool.odb,cool,Increment    157: Step Time =   0.2000,"PART-1-1",           101,       3.24829,   380.001E-03,            0.,NA,NA,"",       29.0965
